Wavelength (nm),H_CQD (a.u.),H_50uM (a.u.),HF_CQD (a.u.),HF_50uM (a.u.),S_CQD (a.u.),S_50uM (a.u.),Intensity (a.u.)
545.9699707,62.00623,56.37009,76.15455627,67.08971405,36.91659927,33.01771545,62.00623
547.0100098,60.8728,55.33263,74.067276,64.92536163,35.5424881,32.03911209,60.8728
548.0499878,59.41749,52.56923,71.18291473,63.01678085,34.63810349,31.19567108,59.41749
548.9500122,57.0905,51.48003,70.208992,60.90026474,33.95787811,30.03878593,57.0905
550,54.96997,48.96129,66.1039505,59.9437561,33.125,29.80673218,54.96997
551.039978,53.03299,47.1989,64.87320709,56.60752106,32.1629982,29.19176865,53.03299
551.9400024,51.46068,45.75882,62.86772919,55.96014786,30.6802597,27.68771935,51.46068
552.9799805,50.11047,44.89796,61.40062332,53.51877213,30.01280594,26.72883987,50.11047
554.0200195,47.18753,42.19937,59.12400818,52.0516777,29.07645798,26.0143261,47.18753
555.0700073,45.3421,40.77483,56.65206909,50.80399323,28.15854263,25.38390541,45.3421
555.9699707,43.76968,39.6829,55.36045456,48.30830383,27.86228943,25.1847496,43.76968
557.0100098,42.89705,38.46912,53.46762466,47.10985184,27.1773777,23.55695534,42.89705
558.0499878,40.8891,36.42369,51.91415024,44.84662247,25.9948101,23.26388931,40.8891
558.9500122,39.40788,35.52468,50.79810333,43.76864624,25.04618073,22.34036827,39.40788
560,38.11244,34.14538,48.96927261,41.57263947,24.53469849,20.8720417,38.11244
561.0200195,36.28097,33.00895,46.58703613,41.83239365,23.52702904,21.29929924,36.28097
562.0499878,34.66376,31.9222,45.28406906,40.16112518,22.75757408,20.57433891,34.66376
562.9400024,34.6567,31.28368,44.23791885,38.80509567,21.7974205,19.78549767,34.6567
563.9699707,32.57119,29.21452,42.34739685,37.62612534,21.09062576,19.03393364,32.57119
565,31.61552,28.09256,40.46939468,35.65524673,20.68232536,18.44633865,31.61552
566.0200195,31.0179,27.8386,39.69103241,34.64796448,19.99535179,17.98745155,31.0179
567.0499878,29.15532,26.72538,38.74967575,33.58951187,19.66632462,17.61513901,29.15532
567.9400024,28.49527,25.59385,37.64278412,33.00906754,19.1337204,17.39883995,28.49527
568.9699707,27.53316,24.53126,36.14789581,31.94073677,18.27686882,16.80288887,27.53316
570,26.27329,23.21048,34.76766205,30.5019989,17.76362228,15.7516222,26.27329
571.039978,24.76974,22.50211,33.81811523,29.69051743,17.57612038,15.40306664,24.76974
571.9400024,24.77066,21.80132,32.39999008,28.20312309,16.79801941,15.24868584,24.77066
572.9799805,23.47812,21.69245,31.87373734,28.01036453,16.56292725,14.58837986,23.47812
574.0200195,22.59147,20.62028,31.04128647,26.89088058,15.898736,14.37751007,22.59147
575.0700073,21.61914,19.3391,29.62289619,26.24876404,15.4070034,13.58637619,21.61914
575.9699707,21.20001,19.15843,28.69838333,25.40522766,15.30612278,13.66773319,21.20001
577.0100098,21.01669,18.74658,28.18333626,23.98088837,14.31200981,12.67952538,21.01669
578.0499878,19.72055,17.53331,27.34320831,23.88113403,14.32577133,12.56454372,19.72055
578.9500122,18.86734,16.9307,26.19500351,22.59576225,13.4219265,12.24746418,18.86734
580,18.06951,17.11138,25.64376259,22.10207367,13.1262188,11.54263592,18.06951
581.0200195,17.72821,16.18588,24.49925804,21.88219833,12.82855701,11.76947498,17.72821
582.0499878,17.41,15.44632,24.27627754,20.90022278,12.56349277,11.21057987,17.41
582.9400024,16.52562,14.7041,23.40980721,20.28053093,12.14767838,10.96552372,16.52562
583.9699707,15.86415,14.11033,22.41781235,18.94740105,11.75002289,10.59931469,15.86415
585,14.95304,13.57672,21.66206551,19.1469574,11.55985165,10.56058407,14.95304
586.0200195,14.65414,13.44201,21.23080254,18.38487434,11.43276405,10.07805824,14.65414
587.0499878,14.15102,12.55186,20.61634445,17.71185875,11.22610283,9.588110924,14.15102
587.9400024,13.62527,12.4932,19.87711716,17.17142868,10.470294,9.353016853,13.62527
588.9699707,13.11834,12.07068,18.99528503,16.13721848,10.12621307,9.071280479,13.11834
590,12.96562,11.39747,18.89626122,16.39417648,10.21977901,8.936443329,12.96562
591.0200195,12.28841,10.94852,17.96118736,15.99118137,9.71060276,8.865976334,12.28841
592.0499878,11.91661,10.72024,17.49346352,15.07724285,9.502470016,8.553469658,11.91661
592.9400024,11.93782,10.95538,16.88228416,14.56120205,8.994428635,8.203001022,11.93782
593.9699707,10.89701,9.950324,16.73091888,13.93691826,8.972781181,8.115007401,10.89701
