Wavelength (nm),H_CQD (a.u.),H_50pM Pb (a.u.),HF_CQD (a.u.),HF_50pM (a.u.),S_CQD (a.u.),S_50pM (a.u.)
577.0100098,21.1783905,19.67657089,28.96139526,25.14173889,52.09217072,49.62553024
578.0499878,20.38733101,19.11760712,28.39719772,25.34692764,49.33127213,47.31577682
578.9500122,19.87148476,17.43278122,28.19916725,24.42095375,48.62849426,46.95359802
580,18.979599,17.39215851,26.98451805,23.04367256,46.64661789,44.79759216
581.0200195,18.39767647,17.10757446,25.8148632,22.61011314,45.02781677,43.51811981
582.0499878,17.70505524,16.50570869,24.81057167,22.22533798,44.68228149,42.01913071
582.9400024,16.90393829,15.80431652,24.16779327,21.29276276,42.85194016,41.06309128
583.9699707,16.17856598,15.19030476,23.57482338,20.68495178,41.09954071,38.4118309
585,15.92396927,14.61650944,22.85722923,20.57594109,39.69814682,37.93299484
586.0200195,15.22186375,14.33899307,22.1773262,19.28452873,38.21033096,36.76913071
587.0499878,14.71281624,13.59848785,21.87828445,18.81128883,37.62605667,35.56491089
587.9400024,13.96383858,13.10240078,20.71243286,18.16988754,36.53475189,34.87317657
588.9699707,13.74977112,12.7926693,20.58393669,17.47919846,34.99906158,33.69636154
590,13.26773739,12.71127224,18.87806892,17.39638901,33.33065033,32.84892654
591.0200195,12.71486759,11.7091465,19.05176163,16.62506485,33.22763824,31.53100204
592.0499878,12.31109524,11.31405258,17.97352791,16.04236412,31.09297371,30.57053566
592.9400024,12.26175308,11.07661343,17.65229225,15.37790298,30.33361626,29.85603905
593.9699707,11.67791843,10.5802002,17.2557888,15.00472832,29.53104019,28.11490822
595,11.32481003,9.898659706,16.89304161,14.21786022,29.48141479,27.71925163
596.0200195,10.63447857,10.00069237,16.37086868,14.01940441,28.33803368,26.5539341
597.0499878,10.17480946,9.734893799,14.93069553,13.5160017,26.87937927,25.72533989
597.9400024,10.02713013,9.102295876,15.18167114,13.2394495,25.8574543,25.07952499
598.9699707,9.815848351,9.198313713,14.95248699,12.70255756,25.09475327,23.90701485
600,9.519441605,8.815547943,13.87160778,12.49248123,25.21042824,22.84939194
601.0200195,9.016745567,8.208453178,13.79053307,12.3529501,23.52160835,22.64989281
602.0499878,8.481975555,8.118967056,13.67287636,11.73348904,23.73402405,22.22541809
602.9400024,8.263648987,7.832101345,13.55617523,11.48722744,22.33744431,21.13183403
603.9699707,8.527864456,7.345705986,12.66805363,10.99038792,20.98115921,20.33956909
605,7.975078106,7.410520077,12.55157661,10.72014141,20.8355751,19.94102097
606.0200195,7.334499359,6.653341293,12.27288246,10.73716164,20.1942234,19.3599987
607.0499878,7.17835474,6.851294041,11.86295128,10.0540905,19.8384037,18.64287186
607.9400024,7.095779419,6.546281815,11.16387749,9.873280525,18.70828819,17.81153679
608.9699707,6.602087975,6.474062443,11.34764957,9.586975098,18.83703041,17.41390038
610,6.871233463,6.021734238,10.86377144,9.209598541,17.70520973,17.39380646
611.0100098,6.104204178,5.787781239,10.15365124,8.933271408,17.43498802,16.55615997
612.0200195,6.224445343,5.527770519,9.852836609,8.772472382,16.26546097,15.51721859
613.039978,5.993880272,5.595188141,9.658704758,8.443778992,16.19082451,15.40136909
614.0499878,5.504173756,5.086685658,9.121557236,7.804152966,15.06303501,14.37553883
615.0700073,5.620238304,4.963345528,9.158773422,7.933347702,15.16731262,14.11026859
615.9400024,5.350215912,4.951916218,8.607028961,7.746138573,14.57092953,13.89535236
616.9500122,5.349245548,5.021142006,8.798212051,7.33309412,13.94238567,13.24485683
617.9699707,4.99930191,4.770242691,8.3554039,7.170967579,13.28273201,13.02541161
618.9799805,4.760088921,4.165094376,7.64027071,6.723207474,12.93447495,12.48689651
620,4.343595505,4.281058311,7.961833954,6.832279205,12.57134819,11.9076128
621.0200195,4.409047604,3.933776617,7.369368553,6.525515079,11.93422794,11.36785698
622.0499878,4.153078556,4.027915478,7.242530823,6.03457737,11.32365417,11.11170006
622.9400024,4.16007185,3.859529972,6.761005878,5.866027355,11.51908875,10.42226982
623.9699707,3.957368851,3.8825562,6.538790226,5.90948391,10.9318285,10.28922462
625,3.616818905,3.798844814,6.765116215,5.594249249,10.14929485,10.04561234
626.0200195,3.611138821,3.36595583,6.182429314,5.270008564,10.24170399,9.873681068
627.0499878,3.561273575,3.252554655,6.248636723,5.373497009,9.851023674,9.40646553
627.9400024,3.195758104,3.14008975,5.847130299,5.045153141,9.530227661,9.07053566
628.9699707,3.253285408,3.335519791,5.477114201,4.511467934,9.120325089,8.873278618
630,3.347221375,2.932060003,5.687489033,5.079962254,9.004576683,8.334898949
631.0100098,3.229918003,3.091860294,5.577402115,4.817554951,8.440573692,8.273901939
632.0200195,3.029225588,2.720144272,5.347260475,4.466639996,8.305308342,7.830758572
633.039978,3.026427984,2.794849634,5.048779011,4.484722614,7.870496273,7.767143726
634.0499878,2.785909176,2.554672718,4.986938953,4.359115601,7.653167248,7.405532837
635.0700073,2.766490936,2.671552896,4.584802628,4.125854492,7.371409893,7.175592899
635.9400024,2.604599476,2.212957859,4.597452164,4.093924999,7.563427448,7.142099857
636.9500122,2.577391386,2.575884104,4.571108818,4.039476395,6.805782795,6.634110451
637.9699707,2.435984612,2.299042702,4.418422699,3.882976294,6.798583508,6.178392887
638.9799805,2.479512453,2.29236722,4.173285007,3.753543377,6.532471657,6.336443901
640,2.167568445,1.885693669,3.966512203,3.399875164,6.035442829,6.061573029
641.0100098,2.150935888,2.0052917,3.734060526,3.451091528,6.286084175,5.62791872
642.0200195,2.219974041,1.926862359,3.80400753,3.1470294,5.886592865,5.297550201
643.039978,1.933984637,2.216013193,3.689810753,3.382790089,5.748451233,5.173777103
644.0499878,1.905655861,1.673525453,3.503115654,2.939188719,5.267462254,5.017594814
645.0700073,1.990063787,1.757688165,3.578399658,2.928573608,5.270931244,4.91960144
645.9400024,2.105762243,1.604748845,3.19346571,2.982976675,5.090879917,4.821933746
646.9500122,1.953321218,1.640447497,3.439222574,2.905090094,4.902226448,4.687685966
647.9699707,1.727140665,1.456270218,3.070608139,2.932551384,4.729701519,4.564035416
648.9799805,1.847325563,1.496964097,3.131928682,2.756676435,4.517538071,4.444267273
650,1.703744054,1.517988801,2.947135925,2.537201881,4.419829369,4.435171604
