Wavelength (nm),CQD (a.u.),50pM (a.u.),100pM (a.u.),150pM (a.u.),200pM (a.u.),300pM (a.u.),400pM (a.u.),500pM (a.u.),600pM (a.u.),700pM (a.u.),800pM (a.u.)
468.0299988,750.0470581,680.838623,656.3764038,645.1237183,628.1072388,629.9609375,608.703125,556.1268311,547.7609253,542.3083496,523.6089478
468.9299927,735.8408203,666.7711792,642.5170288,633.0282593,614.5996704,618.0274048,599.1096802,545.7623901,535.6004028,530.7858887,511.9823914
470,725.0576782,656.4421997,631.1860962,619.5388794,607.2681885,605.0531616,587.4462891,534.5669556,525.2393188,520.7628784,503.1127319
471.0599976,708.3280029,637.2012939,621.0029297,605.4716797,590.8305054,594.3945313,574.3512573,524.4227295,516.2333984,511.7409363,491.7644958
471.9599915,693.1680908,627.5553589,607.3554077,599.282959,585.4959106,582.6795044,563.7287598,514.4497681,506.3846741,501.8382568,484.328949
473.0299988,674.2854614,613.4353638,592.0018311,580.2563477,567.9768677,567.9501953,552.3847656,502.5777893,491.9863892,490.3347778,471.359436
473.9299927,655.4158936,597.1694336,578.3930054,564.0511475,557.2215576,556.9437866,539.5698853,492.0507202,483.3557129,476.2037964,461.1212769
475,645.3015137,582.3626709,563.3300171,554.9966431,547.0686646,541.1167603,527.6188965,479.0493164,474.2521057,466.5878601,454.2039185
476.0599976,632.2648315,571.4510498,551.0603027,541.835083,528.4524536,529.5310669,515.1689453,468.9841003,462.9379578,456.4812927,443.4797058
476.9599915,617.5651855,555.7119751,540.8735962,527.572937,518.8741455,519.0978394,505.447937,458.6439819,450.5315247,446.3306274,433.462616
478.0299988,600.6571655,541.7277832,528.380188,514.8237305,503.753418,505.6453857,491.1009521,444.158844,438.9578552,434.96521,423.3588867
478.9299927,586.3464355,527.7121582,511.9392395,502.7573242,490.6351013,494.1875305,477.7503967,434.6498413,428.677063,422.3547974,408.4810791
480,573.5631714,515.8798218,499.5307617,491.2695313,480.9533081,481.0165405,468.5166626,426.8455505,421.065979,413.3881836,401.8294678
481.0599976,553.6079712,504.6618042,484.3444214,477.7967529,469.0255432,468.334198,450.2359009,413.7906494,406.3011169,403.7059631,391.5170593
481.9599915,544.057251,494.4162598,474.8962708,465.0734558,454.5138855,458.0814514,441.6382751,404.1809387,398.9610901,394.0117188,379.0900574
483.0299988,522.3131714,478.7418823,458.1326904,452.755127,443.1156006,442.6368103,434.0757751,395.0114136,386.0462646,381.4804382,368.3465881
483.9299927,509.170166,466.8065491,451.6952515,442.1464844,430.2973633,433.2286987,419.8526001,385.2868958,377.1830444,371.7965088,359.6852417
485,495.8178101,451.570282,436.8713989,430.7983093,423.5674438,421.6949158,410.2138367,373.5349426,365.0315552,364.8553162,352.2730408
486.0599976,483.4602966,437.9443054,425.0031128,418.0370178,408.8704224,409.7082825,396.7408752,364.1119995,357.3536072,353.1108093,341.0803223
486.9599915,468.2671814,427.2311707,411.940033,405.9676514,398.0287476,396.3271179,387.1220398,353.9345703,347.1248779,345.1143188,332.7119141
488.0299988,453.3322144,415.9814148,401.9140015,395.0048218,386.6246643,387.7073975,374.6264343,342.379303,337.7376099,334.9358215,323.7062073
488.9299927,442.1118164,403.6960449,389.8316956,385.5897827,377.2319946,377.886322,365.6462402,332.0289612,328.1647034,326.7564392,314.1216431
490,433.1793213,393.3442993,378.9034729,373.7879028,366.2687683,367.0050354,357.7313232,327.2341614,320.2633057,317.7304688,307.3373108
491.0400085,418.8369446,382.2201538,366.4027405,363.7398682,355.420166,358.0377197,346.1598206,315.6464844,308.6877441,308.4381714,301.2826233
491.9400024,406.0844727,370.6271362,358.8750305,351.2930908,346.4862671,344.5536499,337.4951172,306.551178,299.8532715,299.9060059,289.7127991
492.980011,389.6263733,359.7918091,344.739502,342.5090027,334.9372253,334.374115,323.2563171,295.5533752,292.2211609,290.072113,279.3634949
494.019989,380.4075317,347.6226807,336.2468872,331.190094,326.2069397,326.6960754,314.7377625,290.2336426,283.5975342,281.7188416,272.514679
495.0700073,369.6715088,342.2355347,325.4356995,321.8356934,313.8350525,313.3303528,305.0149841,279.4927063,275.7475586,273.5520325,265.412384
495.9700012,361.4120789,330.5180054,317.5776062,314.787323,305.7944946,307.6499939,296.892334,274.2902832,271.6628113,265.8629761,258.1124573
497.0100098,349.0644226,316.9184875,307.6113586,304.4130249,295.9896851,297.585968,288.6036377,263.7930603,259.0157166,257.9908142,247.858963
498.0499878,334.1164856,308.5809631,296.856842,293.5964661,286.7600098,286.6033325,276.5444946,255.0975037,251.0992584,251.3255768,241.6994171
498.9500122,329.2357178,299.604126,287.5899048,286.0484924,281.454834,279.9075317,272.617981,246.88797,245.2585602,242.8605347,237.2909393
500,316.2653198,292.8968201,281.4121094,275.7832031,272.6929321,273.0873718,263.6720581,241.9874725,239.3320923,234.1713867,229.5530243
501.0599976,306.3529358,283.2613831,271.2193604,268.1652527,262.0461731,264.0271301,255.5033264,234.7532959,229.8159943,230.383316,221.4592743
501.9599915,296.9128113,275.8443909,264.3944092,259.9815369,253.6490021,252.7177582,250.1938019,227.4994354,222.7577515,223.1006317,214.7475433
503.0299988,286.661438,264.2507935,255.4375,249.9681244,246.7476959,245.9518585,239.8878937,219.8406525,214.2150879,214.6979828,207.8736267
503.9299927,281.1363525,255.5809326,248.6981506,246.5572052,238.0898743,240.7784119,233.8352356,213.2539825,210.0820007,208.3443146,202.9882202
505,269.88797,248.4889984,242.4902496,236.1950378,232.3627319,230.2299347,224.8004761,206.1798706,203.2644806,201.5409088,196.1468201
506.0599976,261.3851624,240.8512573,232.8305359,229.8591461,224.9004974,225.5500488,216.1338654,199.1053314,196.3152313,194.4836121,188.0986938
506.9599915,252.8725891,230.6832275,226.651886,220.7620239,216.8162384,218.3136292,210.7698059,193.9239349,191.5418396,190.1927032,184.257019
508.0299988,243.5870361,224.0221558,217.1740875,214.5402679,210.3041382,208.593338,205.6679077,186.7004242,184.0814972,183.2372742,177.3683929
508.9299927,238.1639862,220.3554688,210.7402039,209.3448944,203.1146698,205.4615326,199.2178192,183.275116,179.8447266,177.9681702,171.994812
510,229.2804108,213.0213928,204.4771729,201.2628021,197.5909729,197.098877,191.5340729,176.254715,172.5489044,171.6221466,165.789032
511.0400085,219.1845093,203.972229,197.148407,196.4643707,190.5397186,190.4775085,184.6290283,170.8479614,167.143692,165.8949432,161.1677246
511.9400024,215.0396729,200.5604095,192.0999908,190.0909271,184.6038666,184.0582275,180.8194122,164.0678253,163.0406952,161.8791199,155.9598541
512.9799805,206.8407135,191.219986,185.0366974,182.3167419,178.7892456,180.0910645,174.2701263,159.2412872,157.5931549,155.9368896,150.816391
514.0200195,200.8683014,184.5402527,179.9503937,176.0656738,171.9156036,172.9196167,168.6514587,153.6622009,152.1193542,152.1681976,146.8739166
515.0700073,193.1813354,180.5797882,172.2834015,170.2744751,166.9164124,168.3881226,161.9730377,148.7246704,147.4448853,146.7637634,141.5805359
515.9699707,188.4011688,172.2447815,166.687561,165.4581451,160.3660583,161.2246399,158.1582642,143.5183868,140.8863678,141.8597717,135.5719452
517.0100098,181.2924042,166.2019653,161.7764587,157.4389496,155.6243744,155.2825165,152.8591461,139.2272339,136.8644409,136.6623688,130.8131714
518.0499878,176.56073,159.8269653,157.0423889,153.3748474,150.8735504,150.8155365,147.3251801,134.1069946,131.8223877,132.3852234,126.8384171
518.9500122,168.7071381,157.1382446,151.1611786,150.9902039,147.5617523,147.2739716,143.2128143,131.0098114,128.0990601,129.4774933,123.9801331
520,163.9536438,149.9483948,145.752243,143.29216,142.4644318,141.7702637,136.5506287,126.2588959,124.1193237,123.498558,120.2100983
521.039978,157.6426239,144.0404053,141.3700867,137.9735107,135.6091461,136.5375519,132.4295349,121.4738541,120.2663269,117.3874817,115.0654755
521.9400024,152.5553131,138.7835388,134.7033234,134.2316742,130.5973206,130.345993,127.2615662,117.2765274,115.6833344,115.7241364,110.714035
522.9799805,147.105896,136.2769928,131.7294922,130.0590515,126.9226379,127.5042267,124.2401047,113.5388107,110.7062302,112.7851563,109.2800446
524.0200195,142.006897,131.8757324,128.0605774,125.6798477,123.2282639,123.7473755,120.5991211,110.3989334,108.1814728,108.1516953,104.0226898
525.0700073,136.5104218,127.08078,123.7410889,121.2950592,119.2259445,119.2008286,114.9456482,106.686615,105.0530167,105.0602951,101.7240677
525.9699707,133.1568909,122.9693222,119.9349365,117.3190613,114.9283829,116.2774658,112.3475342,103.5902939,101.762413,102.5997391,97.82546234
527.0100098,127.3116455,116.5882874,113.7478714,112.1340332,109.7621918,110.4624252,106.9338608,98.85413361,97.40093231,97.50957489,94.11338806
528.0499878,124.1728973,114.7952347,110.6590042,109.037674,107.8789749,106.9750977,104.5698318,96.67860413,93.71790314,93.78702545,90.57653809
528.9500122,118.8382721,112.0456238,107.6144943,106.4910736,102.9090881,104.5948105,101.4800339,93.68458557,91.2539978,91.51964569,88.05767822
530,114.9509735,107.9277039,103.0844955,101.9380798,100.088089,99.1344986,98.15015411,90.05989838,88.91331482,86.68950653,85.55523682
531.039978,110.7512741,103.0957947,100.6861725,98.11251831,96.02007294,96.63699341,93.33296204,86.12738037,85.45128632,84.16372681,81.81268311
531.9400024,107.0681,100.0525284,97.06179047,95.57230377,92.36064911,93.40310669,91.93531799,83.77294159,83.13829041,80.65272522,79.88378143
532.9799805,104.5436401,95.50522614,93.32817841,91.97223663,90.32286072,90.41267395,88.45698547,80.88413239,78.49617767,79.78157806,76.58280945
534.0200195,99.36287689,92.55936432,89.50180054,88.61621094,87.18588257,86.56270599,85.69367981,78.27626038,76.61018372,76.58946991,73.83540344
535.0700073,96.01909637,88.97422791,87.48752594,84.31381226,83.28987885,83.29463959,82.10614777,75.41556549,73.68512726,74.47460175,71.33203888
535.9699707,93.85417938,86.18544006,84.16590881,83.35906219,80.83311462,80.86473083,79.59896851,72.58975983,71.45676422,70.69856262,69.17919922
537.0100098,89.28995514,82.9978714,80.57715607,79.13385773,77.80039978,78.71372986,75.66178131,70.0094986,69.48117828,68.10694885,66.55538177
538.0499878,86.39839172,80.41537476,77.82212067,76.63062286,74.98892975,75.25914001,73.40480804,67.99864197,66.31990051,65.66955566,64.42404938
538.9500122,83.36647034,77.09149933,76.3699646,74.83321381,72.71440887,72.58271027,70.73139954,65.29699707,64.50315857,63.80119324,62.01286697
540,80.41423035,74.3609314,72.95904541,71.29518127,70.27497101,70.42649841,68.79456329,63.49296188,62.7623558,61.84156799,59.48222351
541.039978,76.54652405,70.50826263,70.4311676,68.8853302,66.65818024,67.38555908,66.33083344,60.13503265,59.62934494,59.82820511,57.32833862
541.9400024,75.31729126,69.33307648,67.56425476,66.94578552,65.92848206,65.65719604,64.10939789,58.72544098,57.79486465,58.19455338,56.02629852
