Batch,FeatureIndex,FinalRatio
C,248,0.8019324742695909
C,50,0.8019324742695909
C,246,0.8019324742695909
C,252,0.8019324742695909
C,249,0.8019324742695909
C,49,0.8019324742695909
C,253,0.8019324742695909
C,256,0.8019324742695909
C,48,0.8019324742695909
C,251,0.8019324742695909
C,257,0.8019324742695909
C,260,0.8019324742695909
C,255,0.8019324742695909
C,47,0.8019324742695909
C,254,0.8019324742695909
C,46,0.8019324742695909
C,258,0.8019324742695909
C,259,0.8019324742695909
C,264,0.8019324742695909
D,85,0.8033744478818909
D,81,0.8033744478818909
D,86,0.8033744478818909
D,83,0.8033744478818909
D,79,0.8033744478818909
D,74,0.8033744478818909
D,84,0.8033744478818909
D,89,0.8033744478818909
D,87,0.8033744478818909
D,75,0.8033744478818909
D,76,0.8033744478818909
D,98,0.8033744478818909
D,90,0.8033744478818909
D,77,0.8033744478818909
D,100,0.8033744478818909
D,67,0.8033744478818909
D,64,0.8033744478818909
D,88,0.8033744478818909
D,105,0.8033744478818909
D,68,0.8033744478818909
D,70,0.8033744478818909
D,82,0.8033744478818909
D,73,0.8033744478818909
D,78,0.8033744478818909
D,97,0.8033744478818909
D,101,0.8033744478818909
D,71,0.8033744478818909
D,102,0.8033744478818909
D,72,0.8033744478818909
D,111,0.8033744478818909
D,92,0.8033744478818909
D,91,0.8033744478818909
D,104,0.8033744478818909
D,96,0.8033744478818909
D,94,0.8033744478818909
D,66,0.8033744478818909
D,99,0.8033744478818909
D,80,0.8033744478818909
D,93,0.8033744478818909
D,117,0.8033744478818909
D,108,0.8033744478818909
D,95,0.8033744478818909
D,119,0.8033744478818909
D,63,0.8033744478818909
D,107,0.8033744478818909
D,118,0.8033744478818909
D,103,0.8033744478818909
D,106,0.8033744478818909
D,62,0.8033744478818909
D,65,0.8033744478818909
D,61,0.8033744478818909
D,116,0.8033744478818909
D,110,0.8033744478818909
D,120,0.8033744478818909
D,58,0.8033744478818909
D,112,0.8033744478818909
D,115,0.8033744478818909
D,121,0.8033744478818909
D,124,0.8033744478818909
D,109,0.8033744478818909
D,59,0.8033744478818909
D,136,0.8033744478818909
D,69,0.8033744478818909
D,123,0.8033744478818909
D,125,0.8033744478818909
D,127,0.8033744478818909
D,114,0.8033744478818909
D,135,0.8033744478818909
D,132,0.8033744478818909
D,148,0.8033744478818909
D,113,0.8033744478818909
D,56,0.8033744478818909
D,60,0.8033744478818909
D,126,0.8033744478818909
D,129,0.8033744478818909
D,133,0.8033744478818909
D,131,0.8033744478818909
D,141,0.8033744478818909
D,144,0.8033744478818909
D,145,0.8033744478818909
D,122,0.8033744478818909
D,143,0.8033744478818909
D,142,0.8033744478818909
D,130,0.8033744478818909
D,138,0.8033744478818909
D,128,0.8033744478818909
D,140,0.8033744478818909
D,147,0.8033744478818909
D,134,0.8033744478818909
D,57,0.8033744478818909
D,139,0.8033744478818909
D,53,0.8033744478818909
D,146,0.8033744478818909
D,153,0.8033744478818909
D,137,0.8033744478818909
D,149,0.8033744478818909
D,152,0.8033744478818909
D,151,0.8033744478818909
D,161,0.8033744478818909
D,55,0.8033744478818909
D,154,0.8033744478818909
D,156,0.8033744478818909
D,150,0.8033744478818909
D,159,0.8033744478818909
D,155,0.8033744478818909
D,164,0.8033744478818909
D,158,0.8033744478818909
D,52,0.8033744478818909
D,51,0.8033744478818909
D,166,0.8033744478818909
D,157,0.8033744478818909
D,160,0.8033744478818909
D,54,0.8033744478818909
D,173,0.8033744478818909
D,167,0.8033744478818909
D,163,0.8033744478818909
D,165,0.8033744478818909
D,172,0.8033744478818909
D,174,0.8033744478818909
D,162,0.8033744478818909
D,168,0.8033744478818909
D,46,0.8033744478818909
D,47,0.8033744478818909
D,176,0.8033744478818909
D,169,0.8033744478818909
D,50,0.8033744478818909
D,171,0.8033744478818909
D,185,0.8033744478818909
D,177,0.8033744478818909
D,175,0.8033744478818909
D,170,0.8033744478818909
D,48,0.8033744478818909
D,183,0.8033744478818909
D,178,0.8033744478818909
D,179,0.8033744478818909
D,184,0.8033744478818909
D,180,0.8033744478818909
D,182,0.8033744478818909
D,188,0.8033744478818909
D,189,0.8033744478818909
D,192,0.8033744478818909
D,49,0.8033744478818909
D,186,0.8033744478818909
D,181,0.8033744478818909
D,193,0.8033744478818909
D,201,0.8033744478818909
D,195,0.8033744478818909
D,199,0.8033744478818909
D,190,0.8033744478818909
D,45,0.8033744478818909
D,191,0.8033744478818909
D,197,0.8033744478818909
D,41,0.8033744478818909
D,42,0.8033744478818909
D,43,0.8033744478818909
D,196,0.8033744478818909
D,194,0.8033744478818909
