Diff1,Diff2,Diff3,Diff4,Diff5,Diff6,Diff7,Operator,Batch,Concentration
8.95883941000001,8.790626529999997,8.25427246000001,8.018997200000001,6.963836669999992,5.978286739999987,8.147636410000004,Operator 1,B,1pM Pb
18.084762600000005,17.980194100000006,17.7045593,18.628646900000007,16.33058170000001,17.97201530000001,18.02311709999998,Operator 1,B,1pM Pb
7.482383729999995,8.493995659999996,7.613143919999999,8.959968559999993,9.160575859999994,7.282836920000008,6.548515320000007,Operator 1,B,1pM Pb
18.477325400000012,19.776977500000015,16.578369200000026,17.33393860000001,15.882141100000013,18.538894700000014,14.42277519999999,Operator 1,B,1pM Pb
32.53753660000001,33.3330383,32.36157220000001,35.45645139999999,34.71569819999996,33.44766240000001,31.763854999999978,Operator 1,B,1pM Pb
4.601135249999999,5.111003869999998,5.313819889999998,4.205757139999996,4.6314239499999985,4.581199649999995,4.718963619999997,Operator 1,B,1pM Pb
33.489685099999974,32.52767949999998,32.29379270000004,28.7069702,31.098266600000045,27.15869150000003,28.988616999999977,Operator 1,B,1pM Pb
29.141082700000027,31.4942322,28.636474599999985,33.67880250000002,30.27236929999998,29.92675780000002,31.596496600000023,Operator 1,B,1pM Pb
20.448059100000023,24.96530150000001,23.62884520000003,22.06748970000001,22.222732599999972,20.558654800000028,19.990356399999996,Operator 1,B,1pM Pb
5.57749939,7.721153259999994,8.220207209999998,7.822196959999999,6.2338180499999964,6.538520809999994,6.685951230000001,Operator 1,B,1pM Pb
30.827392599999996,29.452636799999993,30.792358400000012,31.578125,30.291564900000026,25.50796509999998,28.981353800000022,Operator 1,B,1pM Pb
5.57981109,5.197101600000003,5.485622409999998,4.922756190000001,4.01456451,3.9778137200000003,5.131889340000001,Operator 1,B,1pM Pb
17.78170780000002,20.29202269999999,19.457336499999997,19.13519290000002,17.07214350000001,17.053665199999983,15.317367599999983,Operator 1,B,1pM Pb
25.07144169999998,26.078125,26.497466999999972,22.909881600000006,18.786987299999964,22.87298579999998,23.538360600000033,Operator 1,B,1pM Pb
24.542999199999997,27.59368900000004,26.888397200000043,23.378265299999953,24.85064699999998,21.271636899999976,22.319091800000024,Operator 1,B,1pM Pb
71.90203859999997,69.53845209999997,70.27398679999999,67.79254149999997,65.62738030000003,62.12445059999993,59.76660160000006,Operator 1,B,1pM Pb
3.5875816299999954,3.781970969999996,3.209880830000003,3.0993232699999993,3.1294059700000005,3.552799230000005,2.511013030000001,Operator 1,B,1pM Pb
12.888092,14.48062139999999,16.23193359999999,13.157363900000007,12.076705900000007,12.465240399999999,14.32267760000002,Operator 1,B,1pM Pb
16.154113800000005,14.579452500000002,14.109924299999989,16.0429077,14.063293499999986,14.83459480000002,16.897750900000005,Operator 1,B,1pM Pb
22.05410760000001,20.406234799999993,18.789444000000003,18.581253099999998,22.06486510000002,19.13906860000003,18.23098759999999,Operator 1,B,1pM Pb
