Loading Index,Batch B,Batch C,Batch D,Batch E
124,0.07326981788894481,0.060389177289983526,0.07255764794520933,0.07033740520068842
125,0.07317267567169129,0.06040766631384493,0.07254450480842357,0.0703064529658845
126,0.07307983053928506,0.06043553556311023,0.0725108695919368,0.07022147859159066
127,0.07304022651632022,0.060424796141005016,0.07248235580295774,0.07019596491441796
128,0.0729262785753309,0.06043836377909654,0.07243651785067173,0.07013243476167047
129,0.07290847362953644,0.06043745205419098,0.07239251014881394,0.07004276671276238
130,0.0727550278897392,0.06043772461401586,0.07237104076543802,0.0700111302777592
131,0.07265375376746235,0.06042176814954669,0.07233062826664553,0.06996599898557487
132,0.07257129273741379,0.06047642071299969,0.07224156901089511,0.06987998208102587
133,0.07246129625890205,0.06049533531866731,0.07217948975193704,0.06981964953587688
134,0.07231618277506485,0.060438001481257095,0.07211874698458187,0.06973258782113184
135,0.0722581473387124,0.06046963886811248,0.07206042778574061,0.06966706210006927
136,0.07214765259120695,0.06047165425643586,0.07203290376340742,0.06964685787808601
137,0.07192805471437136,0.06045822735289235,0.07192992055418117,0.06948442132003131
138,0.07178057113552463,0.06050186962713724,0.07180818821849581,0.06940184618652971
139,0.071663262754558,0.06050331369882734,0.0717917122657076,0.06931000772599569
140,0.0715113593408942,0.06050935731604306,0.07170414835649809,0.06917061688892243
141,0.07121008359574657,0.060504092549403476,0.07161934637232285,0.06914241414020489
142,0.07110004939461143,0.06052945388765312,0.07152803434350562,0.06900495231295024
143,0.07091913743608601,0.06052127918632405,0.07141422129636404,0.06886456214660253
144,0.07071506226788415,0.06052949703089895,0.07130684206109465,0.06879508866877952
145,0.07061828753381177,0.060559448110138726,0.07127325846049076,0.06860211145092776
146,0.0702740426363665,0.06055259213758906,0.07116408672909724,0.06845289664982894
147,0.06998784522114075,0.060540145707617704,0.07094840703209811,0.06828986401130914
148,0.06973659546951844,0.06056521686879713,0.07084748145536036,0.06820354719397886
149,0.06959761501843381,0.06056177474972726,0.07072276987357334,0.06796166384908002
150,0.06922557185217025,0.060588932691193975,0.07055627413148194,0.06787828504856515
151,0.06882366275846646,0.06060140396248001,0.07035509120719045,0.06755834920933589
152,0.0684577014656446,0.06059850240035969,0.07022040121805993,0.06745813658166123
153,0.06807094685880674,0.06060234334880179,0.06995196899333254,0.06721785564829878
154,0.06779514354338456,0.06058827615554241,0.06990763290632238,0.06688673424313217
155,0.06724967713957522,0.060611671391369436,0.06957299572796069,0.06661612921792538
